SL.No,Date,Category,Sub category,Ward Name/No,Zone Name,Grievance Mode,Status
8491,27-03-2023,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
8492,28-03-2023,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8493,28-03-2023,Health Dept,Air/Noise pollution,Shettyhalli/12,Dasarahalli,Nammabengaluru App,CLOSE
8494,28-03-2023,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
8495,28-03-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8496,28-03-2023,Health Dept,Increase in mosquito density,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8497,28-03-2023,Health Dept,Increase in mosquito density,Herohalli/72,RRNagar,BBMP-UDP,RESOLVED
8498,28-03-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8499,28-03-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8500,28-03-2023,Health Dept,Air/Noise pollution,Chikkalasandra/183,South,BBMP-UDP,CLOSED
8501,28-03-2023,Health Dept,Spraying,Rajamahal/64,West,Nammabengaluru App,CLOSED
8502,28-03-2023,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
8503,28-03-2023,Health Dept,Delay in issue of Trade licence,Shanthala Nagar/111,East,Nammabengaluru App,CLOSED
8504,28-03-2023,Health Dept,Air/Noise pollution,Ejipura/148,South,BBMP-UDP,RESOLVED
8505,28-03-2023,Health Dept,Increase in mosquito density,Jayangar/153,South,Nammabengaluru App,RESOLVED
8506,28-03-2023,Health Dept,Increase in mosquito density,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
8507,28-03-2023,Health Dept,Delay in issue of Trade licence,Basavanapura/53,Mahadevapura,Nammabengaluru App,CLOSED
8508,28-03-2023,Health Dept,Fogging,Chowdeshwari Ward/2,Yelahanka,Nammabengaluru App,CLOSED
8509,28-03-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8510,29-03-2023,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,BBMP-UDP,CLOSED
8511,29-03-2023,Health Dept,Air/Noise pollution,Rajarajeshwari Nagar/160,RRNagar,Nammabengaluru App,CLOSED
8512,29-03-2023,Health Dept,Delay in issue of Trade licence,HBR Layout/24,East,Nammabengaluru App,CLOSED
8513,29-03-2023,Health Dept,Unhygienic premises in Hotel etc,Yelahanka old Satellite Town/4,Yelahanka,BBMP-UDP,CLOSED
8514,29-03-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,BBMP-UDP,CLOSED
8515,29-03-2023,Health Dept,Air/Noise pollution,Herohalli/72,RRNagar,Nammabengaluru App,RESOLVED
8516,29-03-2023,Health Dept,Increase in mosquito density,Herohalli/72,RRNagar,Nammabengaluru App,RESOLVED
8517,29-03-2023,Health Dept,Spraying,Sudam Nagar/118,South,BBMP-UDP,RESOLVED
8518,30-03-2023,Health Dept,Air/Noise pollution,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
8519,30-03-2023,Health Dept,Air/Noise pollution,Nagavara/23,East,BBMP-UDP,CLOSED
8520,30-03-2023,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,BBMP-UDP,CLOSED
8521,30-03-2023,Health Dept,Increase in mosquito density,Koramangala/151,South,BBMP-UDP,RESOLVED
8522,30-03-2023,Health Dept,Delay in issue of Trade licence,Byrasandra/169,South,Nammabengaluru App,CLOSED
8523,30-03-2023,Health Dept,Delay in issue of Trade licence,Shankaramata/75,West,BBMP-UDP,CLOSED
8524,30-03-2023,Health Dept,Increase in mosquito density,Kempegowda Ward/1,Yelahanka,Nammabengaluru App,CLOSED
8525,31-03-2023,Health Dept,Delay in issue of Trade licence,Deepanjali Nagar/158,South,Nammabengaluru App,RESOLVED
8526,31-03-2023,Health Dept,Fogging,Vijanapura/51,Mahadevapura,Nammabengaluru App,CLOSED
8527,31-03-2023,Health Dept,Increase in mosquito density,Mangammanapalya/190,Bommanahalli,BBMP-UDP,CLOSED
8528,31-03-2023,Health Dept,Spraying,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8529,31-03-2023,Health Dept,Delay in issue of Trade licence,Hagadooru/84,Mahadevapura,BBMP-UDP,CLOSED
8530,31-03-2023,Health Dept,Fogging,HBR Layout/24,East,Nammabengaluru App,CLOSED
8531,31-03-2023,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
8532,31-03-2023,Health Dept,Increase in mosquito density,Vijay Nagar/123,South,Nammabengaluru App,RESOLVED
8533,01-04-2023,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,BBMP-UDP,CLOSED
8534,01-04-2023,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,BBMP-UDP,CLOSED
8535,01-04-2023,Health Dept,Increase in mosquito density,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
8536,01-04-2023,Health Dept,Unhygienic premises in hospital,J.P.Nagar/177,South,Nammabengaluru App,RESOLVED
8537,01-04-2023,Health Dept,Increase in mosquito density,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,RESOLVED
8538,01-04-2023,Health Dept,Increase in mosquito density,Vignana Nagar/81,Mahadevapura,Nammabengaluru App,CLOSED
8539,02-04-2023,Health Dept,Increase in mosquito density,Jayangar/153,South,Nammabengaluru App,RESOLVED
8540,02-04-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
8541,02-04-2023,Health Dept,Increase in mosquito density,Nagavara/23,East,Nammabengaluru App,CLOSED
8542,02-04-2023,Health Dept,Increase in mosquito density,Doddanekkundi/85,Mahadevapura,BBMP-UDP,CLOSED
8543,02-04-2023,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
8544,02-04-2023,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,BBMP-UDP,CLOSED
8545,02-04-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8546,03-04-2023,Health Dept,Increase in mosquito density,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
8547,03-04-2023,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
8548,03-04-2023,Health Dept,Increase in mosquito density,S.K.Garden/61,East,BBMP-UDP,CLOSED
8549,03-04-2023,Health Dept,Fogging,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
8550,03-04-2023,Health Dept,Delay in issue of Trade licence,Devasandra/55,Mahadevapura,Nammabengaluru App,CLOSED
8551,03-04-2023,Health Dept,Fogging,Chamrajpet/140,West,Nammabengaluru App,CLOSED
8552,03-04-2023,Health Dept,Increase in mosquito density,Vidyaranyapura/9,Yelahanka,Nammabengaluru App,CLOSED
8553,04-04-2023,Health Dept,Increase in mosquito density,Vannarpet/115,East,Nammabengaluru App,CLOSED
8554,04-04-2023,Health Dept,Unavailability of staff,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
8555,04-04-2023,Health Dept,Increase in mosquito density,Madiwala/172,South,Nammabengaluru App,CLOSED
8556,04-04-2023,Health Dept,Increase in mosquito density,J.P.Nagar/177,South,BBMP-UDP,RESOLVED
8557,04-04-2023,Health Dept,Spraying,Shakambari Nagar/179,South,BBMP-UDP,CLOSED
8558,04-04-2023,Health Dept,Spraying,Singasandra/191,Bommanahalli,BBMP-UDP,CLOSED
8559,04-04-2023,Health Dept,Air/Noise pollution,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
8560,04-04-2023,Health Dept,Increase in mosquito density,Maruthi Seva Nagar/59,East,Nammabengaluru App,CLOSED
8561,04-04-2023,Health Dept,Spraying,Malleshwaram/65,West,BBMP-UDP,CLOSED
8562,04-04-2023,Health Dept,Spraying,H.M.T/38,RRNagar,BBMP-UDP,RESOLVED
8563,05-04-2023,Health Dept,Increase in mosquito density,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
8564,05-04-2023,Health Dept,Spraying,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
8565,05-04-2023,Health Dept,Increase in mosquito density,T-Dasarahalli/15,Dasarahalli,BBMP-UDP,RESOLVED
8566,05-04-2023,Health Dept,Spraying,Rajaji Nagar/99,West,Nammabengaluru App,CLOSED
8567,05-04-2023,Health Dept,Delay in issue of Trade licence,Vasanthapura/197,Bommanahalli,Nammabengaluru App,CLOSED
8568,05-04-2023,Health Dept,Increase in mosquito density,Pulikeshi Nagar/78,East,BBMP-UDP,CLOSED
8569,05-04-2023,Health Dept,Delay in issue of Trade licence,Kumaraswamy Layout/181,South,BBMP-UDP,CLOSED
8570,05-04-2023,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
8571,05-04-2023,Health Dept,Birth & Death Registration,Anjanapur/196,Bommanahalli,Nammabengaluru App,CLOSED
8572,05-04-2023,Health Dept,Increase in mosquito density,J.P.Nagar/177,South,Nammabengaluru App,RESOLVED
8573,05-04-2023,Health Dept,Spraying,Agaram/114,East,BBMP-UDP,CLOSED
8574,06-04-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
8575,06-04-2023,Health Dept,Fogging,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
8576,06-04-2023,Health Dept,Spraying,Nagavara/23,East,Nammabengaluru App,CLOSED
8577,06-04-2023,Health Dept,Fogging,Nagavara/23,East,Nammabengaluru App,CLOSED
8578,06-04-2023,Health Dept,Increase in mosquito density,Nagavara/23,East,Nammabengaluru App,CLOSED
8579,06-04-2023,Health Dept,Increase in mosquito density,Kempegowda Ward/1,Yelahanka,Nammabengaluru App,CLOSED
8580,06-04-2023,Health Dept,Delay in issue of Trade licence,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
8581,07-04-2023,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
8582,07-04-2023,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,BBMP-UDP,CLOSED
8583,07-04-2023,Health Dept,Increase in mosquito density,Neelasandra/116,East,Nammabengaluru App,CLOSED
8584,07-04-2023,Health Dept,Increase in mosquito density,Bommanahalli/175,Bommanahalli,Nammabengaluru App,CLOSED
8585,07-04-2023,Health Dept,Increase in mosquito density,Vasanth Nagar/93,East,Nammabengaluru App,CLOSED
8586,07-04-2023,Health Dept,Increase in mosquito density,Hoodi/54,Mahadevapura,Nammabengaluru App,CLOSED
8587,07-04-2023,Health Dept,Increase in mosquito density,J.P.Nagar/177,South,Nammabengaluru App,RESOLVED
8588,07-04-2023,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8589,07-04-2023,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8590,08-04-2023,Health Dept,Increase in mosquito density,Maruthi Seva Nagar/59,East,Nammabengaluru App,CLOSED
8591,08-04-2023,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
8592,08-04-2023,Health Dept,Increase in mosquito density,Maruthi Seva Nagar/59,East,Nammabengaluru App,CLOSED
8593,08-04-2023,Health Dept,Increase in mosquito density,Bharathi Nagar/91,East,BBMP-UDP,CLOSED
8594,08-04-2023,Health Dept,Unhygienic premises in Hotel etc,Maruthi Mandira Ward/126,West,Nammabengaluru App,CLOSED
8595,08-04-2023,Health Dept,Increase in mosquito density,K.R.Puram/52,Mahadevapura,Nammabengaluru App,CLOSED
8596,08-04-2023,Health Dept,Increase in mosquito density,Aramane Nagar/35,West,Nammabengaluru App,CLOSED
8597,08-04-2023,Health Dept,Increase in mosquito density,Mangammanapalya/190,Bommanahalli,BBMP-UDP,CLOSED
8598,08-04-2023,Health Dept,Increase in mosquito density,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8599,08-04-2023,Health Dept,Increase in mosquito density,HBR Layout/24,East,Nammabengaluru App,CLOSED
8600,08-04-2023,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
8601,08-04-2023,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,BBMP-UDP,CLOSED
8602,08-04-2023,Health Dept,Increase in mosquito density,Jakkur/5,Yelahanka,Nammabengaluru App,CLOSED
8603,09-04-2023,Health Dept,Increase in mosquito density,Jayangar/153,South,Nammabengaluru App,RESOLVED
8604,09-04-2023,Health Dept,Fogging,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
8605,09-04-2023,Health Dept,Spraying,Sagayapuram/60,East,Nammabengaluru App,CLOSED
8606,09-04-2023,Health Dept,Air/Noise pollution,Basaveshwara Nagar/100,West,Nammabengaluru App,CLOSED
8607,09-04-2023,Health Dept,Air/Noise pollution,Basaveshwara Nagar/100,West,Nammabengaluru App,CLOSED
8608,09-04-2023,Health Dept,Air/Noise pollution,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
8609,09-04-2023,Health Dept,Air/Noise pollution,Arakere/193,Bommanahalli,Nammabengaluru App,CLOSED
8610,09-04-2023,Health Dept,Increase in mosquito density,Hosahalli/124,South,Nammabengaluru App,RESOLVED
8611,09-04-2023,Health Dept,Increase in mosquito density,Kottigepalya/73,RRNagar,BBMP-UDP,RESOLVED
8612,09-04-2023,Health Dept,Spraying,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8613,09-04-2023,Health Dept,Unhygienic premises in Hotel etc,Vidyapeetha/164,South,Nammabengaluru App,RESOLVED
8614,09-04-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8615,09-04-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8616,09-04-2023,Health Dept,Fogging,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8617,09-04-2023,Health Dept,Spraying,Chikkalasandra/183,South,BBMP-UDP,CLOSED
8618,10-04-2023,Health Dept,Unhygienic premises in Hotel etc,Yelahanka old Satellite Town/4,Yelahanka,Nammabengaluru App,CLOSED
8619,10-04-2023,Health Dept,Delay in issue of Trade licence,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8620,10-04-2023,Health Dept,Air/Noise pollution,Begur/192,Bommanahalli,BBMP-UDP,CLOSE
8621,10-04-2023,Health Dept,Increase in mosquito density,Shivaji Nagar/92,East,BBMP-UDP,CLOSED
8622,10-04-2023,Health Dept,Increase in mosquito density,Nandini Layout/43,West,Nammabengaluru App,CLOSED
8623,10-04-2023,Health Dept,Air/Noise pollution,Marenahalli/125,West,Nammabengaluru App,CLOSED
8624,11-04-2023,Health Dept,Increase in mosquito density,Sudam Nagar/118,South,Nammabengaluru App,RESOLVED
8625,11-04-2023,Health Dept,Increase in mosquito density,Dodda Bidarkallu/40,RRNagar,Nammabengaluru App,RESOLVED
8626,11-04-2023,Health Dept,Fogging,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8627,11-04-2023,Health Dept,Fogging,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
8628,12-04-2023,Health Dept,Fogging,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8629,12-04-2023,Health Dept,Increase in mosquito density,Sarvagna Nagar/79,East,BBMP-UDP,CLOSED
8630,12-04-2023,Health Dept,Air/Noise pollution,Kadugodi/83,Mahadevapura,BBMP-UDP,CLOSED
8631,12-04-2023,Health Dept,Delay in issue of Trade licence,Hagadooru/84,Mahadevapura,Nammabengaluru App,CLOSED
8632,12-04-2023,Health Dept,Delay in issue of Trade licence,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8633,12-04-2023,Health Dept,Delay in issue of Trade licence,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8634,12-04-2023,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
8635,13-04-2023,Health Dept,Increase in mosquito density,Singasandra/191,Bommanahalli,Nammabengaluru App,CLOSED
8636,13-04-2023,Health Dept,Air/Noise pollution,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
8637,13-04-2023,Health Dept,Delay in issue of Trade licence,K.R.Market/139,West,BBMP-UDP,CLOSED
8638,13-04-2023,Health Dept,Delay in issue of Trade licence,Shettyhalli/12,Dasarahalli,Nammabengaluru App,RESOLVED
8639,13-04-2023,Health Dept,Increase in mosquito density,BTM Layout/176,South,Nammabengaluru App,RESOLVED
8640,14-04-2023,Health Dept,Air/Noise pollution,Banaswadi/27,East,BBMP-UDP,CLOSED
8641,14-04-2023,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
8642,14-04-2023,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
8643,14-04-2023,Health Dept,Air/Noise pollution,Ullalu/130,RRNagar,Nammabengaluru App,CLOSED
8644,14-04-2023,Health Dept,Air/Noise pollution,Domlur/112,East,BBMP-UDP,CLOSED
8645,14-04-2023,Health Dept,Increase in mosquito density,Someshwara/3,Yelahanka,Nammabengaluru App,CLOSED
8646,14-04-2023,Health Dept,Increase in mosquito density,Gottigere/194,Bommanahalli,Nammabengaluru App,CLOSED
8647,15-04-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
8648,15-04-2023,Health Dept,Fogging,Konanakunte/195,Bommanahalli,Nammabengaluru App,CLOSED
8649,15-04-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
8650,15-04-2023,Health Dept,Air/Noise pollution,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8651,15-04-2023,Health Dept,Air/Noise pollution,Bellandur/150,Mahadevapura,Nammabengaluru App,CLOSED
8652,15-04-2023,Health Dept,Air/Noise pollution,Banashankari Temple Ward/180,South,BBMP-UDP,CLOSED
8653,16-04-2023,Health Dept,Increase in mosquito density,Thanisandra/6,Yelahanka,Nammabengaluru App,CLOSED
8654,16-04-2023,Health Dept,Air/Noise pollution,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8655,16-04-2023,Health Dept,Air/Noise pollution,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8656,16-04-2023,Health Dept,Increase in mosquito density,Bommanahalli/175,Bommanahalli,BBMP-UDP,CLOSED
8657,16-04-2023,Health Dept,Air/Noise pollution,Begur/192,Bommanahalli,BBMP-UDP,CLOSED
8658,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8659,17-04-2023,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8660,17-04-2023,Health Dept,Increase in mosquito density,Manorayanapalya/33,East,Nammabengaluru App,CLOSED
8661,17-04-2023,Health Dept,Increase in mosquito density,Sudam Nagar/118,South,BBMP-UDP,RESOLVED
8662,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Kushal Nagar/31,East,BBMP-UDP,CLOSED
8663,17-04-2023,Health Dept,Spraying,Konena Agrahara/113,East,BBMP-UDP,CLOSED
8664,17-04-2023,Health Dept,Air/Noise pollution,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
8665,17-04-2023,Health Dept,Air/Noise pollution,Konanakunte/195,Bommanahalli,BBMP-UDP,CLOSED
8666,17-04-2023,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8667,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8668,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8669,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8670,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8671,17-04-2023,Health Dept,Spraying,Mahalakshmipuram/68,West,BBMP-UDP,CLOSED
8672,17-04-2023,Health Dept,Increase in mosquito density,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8673,17-04-2023,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8674,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8675,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8676,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8677,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8678,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8679,17-04-2023,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8680,17-04-2023,Health Dept,Air/Noise pollution,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8681,17-04-2023,Health Dept,Increase in mosquito density,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8682,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8683,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8684,17-04-2023,Health Dept,Increase in mosquito density,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8685,17-04-2023,Health Dept,Increase in mosquito density,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8686,17-04-2023,Health Dept,Unhygienic premises in Hotel etc,Pulikeshi Nagar/78,East,Nammabengaluru App,CLOSED
8687,18-04-2023,Health Dept,Fogging,Ejipura/148,South,Nammabengaluru App,RESOLVED
8688,18-04-2023,Health Dept,Air/Noise pollution,Shettyhalli/12,Dasarahalli,Nammabengaluru App,CLOSE
8689,18-04-2023,Health Dept,Increase in mosquito density,Nagapura/67,West,BBMP-UDP,CLOSED
8690,19-04-2023,Health Dept,Unhygienic premises in Hotel etc,Yelachenahalli/185,Bommanahalli,Nammabengaluru App,CLOSED
8691,19-04-2023,Health Dept,Increase in mosquito density,Kadugodi/83,Mahadevapura,Nammabengaluru App,CLOSED
8692,19-04-2023,Health Dept,Increase in mosquito density,Koramangala/151,South,BBMP-UDP,CLOSED
8693,19-04-2023,Health Dept,Air/Noise pollution,Shiva Nagar/107,West,BBMP-UDP,CLOSE APPROVED
8694,19-04-2023,Health Dept,Unhygienic premises in Hotel etc,Madiwala/172,South,Nammabengaluru App,CLOSED
8695,19-04-2023,Health Dept,Fogging,HBR Layout/24,East,BBMP-UDP,CLOSED
8696,19-04-2023,Health Dept,Increase in mosquito density,Hombegowda Nagar/145,South,BBMP-UDP,RESOLVED
8697,19-04-2023,Health Dept,Increase in mosquito density,Begur/192,Bommanahalli,Nammabengaluru App,CLOSED
8698,20-04-2023,Health Dept,Increase in mosquito density,Hoysala Nagar/80,East,BBMP-UDP,CLOSED
8699,20-04-2023,Health Dept,Increase in mosquito density,Benniganahalli/50,East,BBMP-UDP,CLOSED
8700,20-04-2023,Health Dept,Increase in mosquito density,Konena Agrahara/113,East,BBMP-UDP,CLOSED
8701,20-04-2023,Health Dept,Air/Noise pollution,Jeevanbhima Nagar/88,East,Nammabengaluru App,CLOSED
8702,20-04-2023,Health Dept,Air/Noise pollution,BTM Layout/176,South,BBMP-UDP,RESOLVED
8703,20-04-2023,Health Dept,Spraying,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
8704,20-04-2023,Health Dept,Spraying,HSR Layout/174,Bommanahalli,Nammabengaluru App,CLOSED
8705,20-04-2023,Health Dept,Increase in mosquito density,J.P.Park/17,RRNagar,BBMP-UDP,RESOLVED
8706,20-04-2023,Health Dept,Fogging,Horamavu/25,Mahadevapura,BBMP-UDP,CLOSED
8707,21-04-2023,Health Dept,Increase in mosquito density,Ramamurthy Nagar/26,Mahadevapura,Nammabengaluru App,CLOSED
8708,21-04-2023,Health Dept,Increase in mosquito density,Puttenahalli/187,Bommanahalli,Nammabengaluru App,CLOSED
8709,21-04-2023,Health Dept,Increase in mosquito density,Devasandra/55,Mahadevapura,Nammabengaluru App,CLOSED
8710,21-04-2023,Health Dept,Air/Noise pollution,Bommanahalli/175,Bommanahalli,BBMP-UDP,CLOSED
8711,21-04-2023,Health Dept,Delay in issue of Trade licence,Hemmigepura/198,RRNagar,Nammabengaluru App,CLOSED
8712,22-04-2023,Health Dept,Fogging,Kengeri/159,RRNagar,Nammabengaluru App,CLOSED
8713,22-04-2023,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,BBMP-UDP,CLOSED
8714,22-04-2023,Health Dept,Increase in mosquito density,Rajarajeshwari Nagar/160,RRNagar,BBMP-UDP,CLOSED
8715,22-04-2023,Health Dept,Unhygienic premises in Hotel etc,Doddanekkundi/85,Mahadevapura,BBMP-UDP,CLOSED
8716,22-04-2023,Health Dept,Spraying,HSR Layout/174,Bommanahalli,BBMP-UDP,CLOSED
8717,22-04-2023,Health Dept,Spraying,Jayangar/153,South,BBMP-UDP,RESOLVED
8718,23-04-2023,Health Dept,Increase in mosquito density,Kodigehalli/8,Yelahanka,BBMP-UDP,CLOSED
8719,23-04-2023,Health Dept,Air/Noise pollution,Koramangala/151,South,BBMP-UDP,NON RELEVANT
8720,23-04-2023,Health Dept,Air/Noise pollution,Hebbal/21,East,BBMP-UDP,CLOSED
8721,23-04-2023,Health Dept,Fogging,Gurappanapalya/171,South,Nammabengaluru App,CLOSED
8722,23-04-2023,Health Dept,Increase in mosquito density,Horamavu/25,Mahadevapura,Nammabengaluru App,CLOSED
8723,23-04-2023,Health Dept,Increase in mosquito density,Byatarayanapura/7,Yelahanka,Nammabengaluru App,CLOSED
8724,24-04-2023,Health Dept,Air/Noise pollution,Jakkasandra/173,South,BBMP-UDP,CLOSED
8725,24-04-2023,Health Dept,Increase in mosquito density,Benniganahalli/50,East,BBMP-UDP,CLOSED
8726,24-04-2023,Health Dept,Unhygienic premises in Hotel etc,J.P.Nagar/177,South,BBMP-UDP,RESOLVED
8727,24-04-2023,Health Dept,Delay in issue of Trade licence,Kumaraswamy Layout/181,South,Nammabengaluru App,CLOSED
8728,25-04-2023,Health Dept,Air/Noise pollution,Vidyaranyapura/9,Yelahanka,BBMP-UDP,CLOSED
8729,25-04-2023,Health Dept,Spraying,Dr.Rajkumar Ward/106,West,BBMP-UDP,CLOSED
8730,25-04-2023,Health Dept,Increase in mosquito density,Sarakki/178,South,BBMP-UDP,CLOSED
8731,26-04-2023,Health Dept,Fogging,Jnanabharathi Ward/129,RRNagar,BBMP-UDP,CLOSED
8732,26-04-2023,Health Dept,Unhygienic premises in Hotel etc,Uttarahalli/184,Bommanahalli,Nammabengaluru App,CLOSED
8733,26-04-2023,Health Dept,Fogging,Someshwara/3,Yelahanka,BBMP-UDP,CLOSED
8734,26-04-2023,Health Dept,Spraying,Gali Anjaneya Swamy Temple Ward/157,South,BBMP-UDP,RESOLVED
8735,26-04-2023,Health Dept,Air/Noise pollution,Puttenahalli/187,Bommanahalli,BBMP-UDP,CLOSED
